Trip #,Post-trip,Outside temp ?C,Inside Temp ?C,Blue score,Distance Since start Km,Average Speed Since start Km/hr,Time Since start (includes key on),Economy Since start Kwh/100km,range indicator Km,Brake Mode,Climate control usage,Road style,Reset Meters,"                       Notes: Driving area, warnings, reminders, incedents, issues, feeling"
276,Y,-11,21,88,3,26,:07,25.2,81,D1,Y,Highway,Y,
277,Y,-14,14,79,14,53,:16,25.1,76,D1,Y,Highway,Y,
278,Y,-21,6.5,80,17,48,:22,31.5,52,D1,Y,Highway,Y,
279,Y,-16,19,77,17,60,:17,26.2,41,D1,Y,Highway,Y,Turned Eco mode off
280,Y,-11,24,71,17,52,:20,15.5,127,D1,Y,Highway,Y,
281,Y,-14.5,16,80,17,58,:18,22.9,109,D1,Y,Highway,Y,
282,Y,-24.5,14.5,78,17,59,:17,27.9,106,D1,Y,Highway,Y,
283,Y,-21,7,95,3,30,:07,34.1,95,D1,Y,City ,Y,
284,Y,-20,9,81,3,23,:09,46.7,84,D1,Y,City ,Y,
285,Y,-14.5,24,70,17,59,:17,22.2,89,D1,Y,Highway,Y,
286,Y,-13.5,18.5,76,14,61,:14,19,96,D1,Y,Highway,Y,
287,Y,-14,16.5,86,4,30,:08,23.3,92,D1,Y,City/Highway,Y,
288,Y,-13.5,16,84,5,29,:10,27.7,83,D1,Y,City/Highway,Y,
289,Y,-13,8,91,1,18,:05,45.7,76,D1,Y,City ,Y,
290,Y,-16,15,74,18,63,:17,24.8,52,D1,Y,Highway,Y,
291,Y,-16.5,12,83,17,55,:18,25.7,111,D1,Y,Highway,Y,
292,Y,-16,2,77,2,39,:04,34.7,108,D1,Y,Highway,Y,
293,Y,-6.5,5,79,0,6,:04,94.8,105,0,Y,City ,Y,Dropped car off for decals
294,Y,-9.5,14,69,14,59,:14,25,100,D1,Y,Highway,Y,Picked car up from decal install (unknown Drive cycle inbetween last and this trip)
295,Y,-4.5,13.5,82,17,47,:22,20.9,131,D1,Y,Highway,Y,
296,Y,-2,11.5,90,6,29,:13,23.5,125,D1,Y,City/Highway,Y,
297,Y,2,21,78,17,57,:18,20.4,114,D1,Y,Highway,Y,
298,Y,1,15,77,17,58,:18,15.7,159,D1,Y,Highway,Y,
299,Y,1,13,92,4,26,:09,19.4,154,D1,Y,City ,Y,
300,Y,1,19.5,74,19,41,:27,17.5,143,D1,Y,City/Highway,Y,
301,Y,3,21,88,17,40,:25,15,137,D1,Y,City/Highway,,
302,Y,2.5,20,89,21,35,:37,15.2,135,D1,Y,City/Highway,Y,Trip was not reset so this is combined data from the last trip
303,Y,2.5,19.5,89,3,27,:07,18.1,133,D1,Y,City/Highway,Y,
304,Y,1,21,79,14,56,:15,17.8,113,D1,Y,Highway,Y,
305,Y,-2,18,79,19,56,:21,15.6,177,D1,Y,City/Highway,Y,
306,Y,-2,14,89,1,14,:05,25.4,175,D1,Y,City ,Y,
307,Y,-2.5,14,90,3,28,:07,18.8,169,D1,Y,City ,Y,
308,Y,-3,14,97,1,15,:04,22.9,167,D1,Y,City ,Y,
309,Y,-3.5,18.5,90,3,14,:15,24.6,159,D1,Y,City ,Y,
310,Y,-2,11,99,0,11,:02,37.9,157,D1,Y,City ,Y,
311,Y,2,26,87,4,29,:09,12.5,165,D1,Y,City ,Y,
312,Y,2,15.5,85,3,24,:09,19.2,168,D1,N,City ,Y,
